"categoryID","category","sortID","active","createdAt","updatedAt"
1,"Novels",1,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
2,"Short Story Collections",2,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
3,"Non Fiction",3,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
4,"Secondary Resources",4,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
5,"Blade Runner",5,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
6,"Film",6,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
7,"Television",7,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
8,"Documentaries",8,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
9,"Radio",9,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
10,"Music",10,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
11,"Games",11,True,"2020-10-18 23:10:19.256454-04","2020-10-18 23:10:19.256454-04"
12,"Short Stories",12,True,"2020-10-19 14:24:53.863-04","2020-10-19 14:24:53.863-04"
13,"Theatre",13,True,"2020-10-29 10:25:19.791-04","2020-10-29 10:25:19.791-04"
14,"Biographies",14,True,"2020-10-29 10:25:59.128-04","2020-10-29 10:25:59.128-04"
15,"Bibliographies",15,True,"2020-10-29 10:26:45.653-04","2020-10-29 10:26:45.653-04"
16,"Interviews",16,True,"2020-10-29 10:28:32.813-04","2020-10-29 10:28:32.813-04"
17,"Graphic Novels",17,True,"2020-10-29 11:36:06.05-04","2020-10-29 11:36:06.05-04"
