"titleID","titleName","titleSort","authorFirstName","authorLastName","publicationDate","imageName","categoryID","shortDescription","urlPKDweb","active","createdAt","updatedAt"
1,"The Broken Bubble","broken bubble, the","Philip K.","Dick","1988-01-01 00:00:00-05","https://philipdick.com/images/covers/TheBrokenBubble.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
2,"Clans of the Alphane Moon","clans of the alphane moon","Philip K.","Dick","1964-01-01 00:00:00-05","https://philipdick.com/images/covers/ClansOfTheAlphaneMoon.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
3,"Confessions of a Crap Artist","confessions of a crap artist","Philip K.","Dick","1975-01-01 00:00:00-05","https://philipdick.com/images/covers/ConfessionsOfACrapArtist.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
4,"The Cosmic Puppets","cosmic puppets, the","Philip K.","Dick","1957-01-01 00:00:00-05","https://philipdick.com/images/covers/TheCosmicPuppets.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
5,"Counter-Clock World","counter-clock world","Philip K.","Dick","1967-01-01 00:00:00-05","https://philipdick.com/images/covers/CounterClockWorld.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
6,"The Crack in Space","crack in space, the","Philip K.","Dick","1966-01-01 00:00:00-05","https://philipdick.com/images/covers/TheCrackInSpace.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
7,"Deus Irae","deus irae","Philip K.","Dick","1976-01-01 00:00:00-05","https://philipdick.com/images/covers/DeusIrae.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
8,"The Divine Invasion","divine invasion, the","Philip K.","Dick","1981-01-01 00:00:00-05","https://philipdick.com/images/covers/TheDivineInvasion.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
9,"Do Androids Dream of Electric Sheep?","do androids dream of electric sheep?","Philip K.","Dick","1968-01-01 00:00:00-05","https://philipdick.com/images/covers/DoAndroidsDreamOfElectricSheep.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
10,"Dr. Bloodmoney","dr. bloodmoney","Philip K.","Dick","1965-01-01 00:00:00-05","https://philipdick.com/images/covers/DrBloodmoney.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
11,"Dr. Futurity","dr. futurity","Philip K.","Dick","1960-01-01 00:00:00-05","https://philipdick.com/images/covers/DrFuturity.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
12,"Eye in the Sky","eye in the sky","Philip K.","Dick","1957-01-01 00:00:00-05","https://philipdick.com/images/covers/EyeInTheSky.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
13,"Flow My Tears, the Policeman Said","flow my tears, the policeman said","Philip K.","Dick","1974-01-01 00:00:00-05","https://philipdick.com/images/covers/FlowMyTearsThePolicemanSaid.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
14,"Galactic Pot-Healer","galactic pot-healer","Philip K.","Dick","1969-01-01 00:00:00-05","https://philipdick.com/images/covers/GalacticPotHealer.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
15,"The Game-Players of Titan","game-players of titan, the","Philip K.","Dick","1963-01-01 00:00:00-05","https://philipdick.com/images/covers/TheGamePlayersOfTitan.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
16,"Gather Yourselves Together","gather yourselves together","Philip K.","Dick","1994-01-01 00:00:00-05","https://philipdick.com/images/covers/GatherYourselvesTogether.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
